filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
cto.clinical-trials-ontology.1.owl.xml, Placebo, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, g/day, 10,  7,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Regulatory_Assessment, 9,  5,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Study_Legal_Sponsor, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Quasi_random_allocation, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Blood, 12,  6,12,  3,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Plasma_markers, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Dose-response_trial, 8,  8,8,  3,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Memory_and_learning, 9,  6,9,  2,  9, 5
cto.clinical-trials-ontology.1.owl.xml, Regimen_cardinality, 10,  6,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Cohort, 11,  6,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_Global_Impressions_scale, 8,  5,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, ng/l, 10,  5,10,  2,  10, 8
cto.clinical-trials-ontology.1.owl.xml, Unicenter_trial, 8,  5,8,  2,  8, 5
cto.clinical-trials-ontology.1.owl.xml, Delusion, 12,  5,12,  2,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Alcohol_addiction, 12,  5,12,  2,  12, 5
cto.clinical-trials-ontology.1.owl.xml, Spinal_muscular_atrophy, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Reviewable_Unit, 10,  5,10,  2,  10, 5
cto.clinical-trials-ontology.1.owl.xml, Crossover_assignment, 11,  5,11,  2,  11, 5
cto.clinical-trials-ontology.1.owl.xml, Clinical_outcome_measure, 9,  6,9,  3,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Anxiety, 11,  6,11,  3,  11, 5
